trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9966398834184859}",25,0,-112.23660561221155,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9964740739761475}",25,0,-151.98611399105366,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.996304278638842}",20,0,-66.27182706158307,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9961304980857502}",20,0,-93.31258560805377,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-91.44370802632017,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9957709841286342}",30,0,-162.06883756469162,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9955852521626654}",25,0,-275.112968578452,"{0: 8, 1: 5, 2: 6, 3: 2, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,0,-136.35495340044122,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.995201841970541}",30,0,-195.6312784962873,"{0: 13, 1: 7, 2: 5, 3: 4, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9950041652780258}",30,0,-165.62338019983704,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.994802508570176}",25,0,-53.769699613329706,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9945968726536185}",35,0,-208.83423988556646,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.9943872583508965}",25,0,-105.24328687542109,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,0,-90.67387957685179,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,0,-222.06743671730857,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 4}",0
57,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,0,-191.40705663836576,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9935090342861342}",20,0,-97.15174319440521,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9932795409475959}",20,0,-68.12816033817228,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.993046074492218}",20,0,-105.60385277055244,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,11,-42.37453933965119,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9925672259822949}",20,0,-94.90712774151925,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9923218458431429}",30,0,-94.58723326144137,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9920724964179307}",35,11,-161.79768983955205,"{0: 11, 1: 1, 2: 7, 3: 5, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.9918191787040556}",20,0,-106.91752171741778,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-232.78091389667904,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.9913006424792677}",30,0,-161.31125146368169,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9910354260424993}",25,0,-146.20215285520254,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.990766245465348}",30,0,-101.85708294375156,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9904931018245359}",20,0,-189.119660860516,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
71,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-71.12914476907275,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9899349297380738}",20,8,-73.61598395287811,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.9896499035251115}",20,0,-92.53882013808277,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9893609187138546}",25,0,-56.75587056576274,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.989067976460242}",20,0,-51.23118421662241,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-171.12206225638442,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9884702243288492}",25,0,-118.6168153419692,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9881654168420767}",20,0,-89.54539705296925,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9878566566949545}",20,0,-41.985725847853345,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9875439451225226}",20,0,-131.47441553493414,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9872272833756269}",30,0,-261.3518787314991,"{0: 14, 1: 3, 2: 6, 3: 4, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.986906672720914}",30,0,-169.37224017180674,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9865821144408262}",35,0,-110.37785744649132,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.986253609833596}",25,0,-61.9245890616604,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9859211602132415}",30,0,-137.13580492867578,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9855847669095608}",25,0,-73.47614694728053,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.9852444312681263}",20,0,-122.43851193462972,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.9849001546502806}",20,0,-105.00000344425764,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9845519384331295}",25,0,-65.8829393832955,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9841997840095373}",25,0,-120.81368572273136,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-115.06458182858893,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9834836661932461}",20,0,-108.36168117568657,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9831197056650174}",25,0,-180.7359435626366,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
94,False,"{'a': 0.5, 'e': 0.9827518126592768}",25,0,-130.76714374114027,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9823799886475959}",20,0,-35.53013744389718,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9820042351172703}",20,0,1.4139054647159122,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9816245535713135}",20,0,-142.25602164831815,"{0: 10, 1: 3, 2: 2, 3: 4, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9812409455284513}",25,0,-183.48905944127836,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9808534125231153}",25,0,-50.856100660987764,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9804619561054371}",20,0,-74.93326448027821,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-82.29218257287218,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9796672793120416}",25,0,-201.9163684514895,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.9792640621150305}",20,0,-66.38408840387908,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.9788569278630767}",25,0,-135.40280853245326,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9784458781847165}",20,0,-98.92250676954637,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-23.48011872950798,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.9776120391412251}",20,0,-118.07105074783888,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9771892531114489}",20,0,-94.69825429858949,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.9767625583259631}",25,0,-210.19376929493492,"{0: 9, 1: 4, 2: 8, 3: 2, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9763319564915464}",30,0,-101.01788311073985,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9758974493306055}",20,0,-76.1537356120231,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9754590385811684}",20,0,-43.623763256464585,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9750167259968777}",25,0,-218.88419024863916,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
114,False,"{'a': 0.5, 'e': 0.974570513346983}",20,0,-57.615875298498736,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9741204024163344}",30,0,-161.7824064249933,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-55.71253736187935,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9732084929301336}",20,0,-88.76060220119845,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.9727466980222181}",30,0,-53.99879708318181,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9722810121288076}",25,0,-106.00073962827113,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.971811437112645}",25,0,-178.71592567044172,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.9713379748520297}",30,0,-173.15052713083992,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.97086062724081}",35,0,-93.06072914367597,"{0: 24, 1: 2, 2: 7, 3: 2, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.9703793961883759}",30,14,2.9955373777231094,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.9698942836196508}",20,0,-182.58067933873235,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.9694052914750845}",30,0,-123.2551317569181,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-172.0984318090049,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
127,False,"{'a': 0.5, 'e': 0.9684156762978101}",30,0,-246.2700762837708,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",1
128,False,"{'a': 0.5, 'e': 0.9679150572235615}",30,0,-236.67807804043377,"{0: 12, 1: 3, 2: 10, 3: 3, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.9674105664903746}",20,0,-126.25147332321117,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.9669022061162115}",25,13,7.8237132828890505,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.9663899781345132}",35,0,-164.40370333185783,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.9658738845941909}",25,0,-42.117995668926326,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.965353927559618}",30,0,-317.41455899090613,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 5}",0
134,False,"{'a': 0.5, 'e': 0.9648301091106221}",20,4,-65.5487977162527,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.9643024313424761}",20,0,-97.78798582005795,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-82.7305037580978,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9632355063070045}",25,0,-131.8971421139628,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.9626962633073776}",25,0,-141.39749340548443,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9621531695239809}",20,0,-91.08000585404727,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.9616062271291891}",25,0,-78.73671103157886,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-77.57646762585833,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.9605008052718809}",20,0,-40.43585888302907,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.9599423302310505}",25,0,-107.80290801966308,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.959380015422179}",20,0,-58.45442626143155,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9588138630945251}",20,0,-28.073999905895324,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.9582438755126972}",20,0,-89.10906839331571,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9576700549566448}",25,0,-185.10972131091336,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 3}",0
148,False,"{'a': 0.5, 'e': 0.9570924037216496}",20,0,-49.597144858822126,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.9565109241183156}",20,0,-86.97752770201525,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.9559256184725605}",25,0,-48.80585312520275,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-69.69102691184371,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.9547435384339689}",25,0,-114.04014900582109,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.9541467687694509}",25,0,-99.1106997359928,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.9535461825191301}",20,0,-166.96314048305712,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.9529417820853506}",25,0,-86.56115712809986,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9523335698857134}",20,0,-30.018369638857482,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.9517215483530664}",25,0,-107.29465495269469,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
